run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
6203,BR,ND,7,5,0.929187,0.564315,0.295202,12,3,442,309,82,2160
6204,BR,ND,7,20,0.971667,0.649545,0.230941,5,3,229,0,71,3600
6205,BR,ND,7,10,0.917635,0.557808,0.249671,9,4,261,261,54,1440
6206,BR,ND,5,5,0.912714,0.492769,0.286605,4,2,406,406,54,1280
6207,BR,ND,5,15,0.978362,0.479212,0.194474,7,2,121,0,76,6720
6208,BR,ND,7,15,0.986161,0.631815,0.265234,10,2,335,0,85,9600
6209,BR,ND,7,20,0.869038,0.658579,0.28353,10,3,525,0,83,7200
6210,BR,ND,3,15,0.862042,0.57022,0.148012,1,2,110,0,63,960
6211,BR,ND,7,20,0.852114,0.564802,0.17865,9,3,110,0,81,6480
6212,BR,ND,5,15,0.929646,0.654928,0.139321,7,3,45,0,74,3780
6213,BR,ND,7,20,0.862872,0.650697,0.217933,10,3,199,0,82,7200
6214,BR,ND,5,10,0.933278,0.512998,0.290174,1,2,426,426,54,640
6215,BR,ND,5,15,0.829855,0.405074,0.239999,8,3,243,0,77,4320
6216,BR,ND,5,15,0.970315,0.547695,0.264738,1,2,388,260,60,960
6217,BR,ND,3,5,0.813376,0.656917,0.258812,10,3,282,282,54,1800
6218,BR,ND,3,15,0.971555,0.425767,0.243484,3,4,208,208,54,720
6219,BR,ND,7,5,0.965891,0.530711,0.181345,15,4,43,0,89,1200
6220,BR,ND,7,15,0.959115,0.572778,0.185612,7,2,147,0,78,6720
6221,BR,ND,7,10,0.80364,0.491209,0.26039,9,2,328,0,83,5760
6222,BR,ND,5,10,0.882706,0.576641,0.131222,10,4,13,0,83,1600
6223,BR,ND,5,20,0.922078,0.587368,0.230811,13,4,148,0,87,4160
6224,BR,ND,7,15,0.888645,0.699178,0.20383,6,3,130,0,75,3240
6225,BR,ND,5,5,0.856391,0.431774,0.130291,1,4,14,0,64,80
6226,BR,ND,5,20,0.866367,0.407416,0.220134,5,4,164,164,54,1600
6227,BR,ND,3,20,0.849566,0.607074,0.178508,8,4,81,81,54,2560
6228,BR,ND,5,20,0.856793,0.615424,0.168948,9,2,135,0,82,11520
6229,BR,ND,5,20,0.872375,0.537922,0.213335,11,3,141,0,85,7920
6230,BR,ND,3,10,0.921762,0.591692,0.199112,13,4,111,111,54,2080
6231,BR,ND,7,5,0.920106,0.483122,0.145665,9,2,47,0,78,2880
6232,BR,ND,3,10,0.983175,0.522333,0.234988,3,3,212,122,65,1080
6233,BR,ND,5,15,0.94257,0.52512,0.166589,3,3,66,0,67,1620
6234,BR,ND,5,5,0.802321,0.592402,0.228274,6,3,182,182,54,1080
6235,BR,ND,5,20,0.984122,0.628648,0.28032,13,3,335,0,90,9360
6236,BR,ND,7,10,0.865193,0.660796,0.26194,6,2,312,0,74,3840
6237,BR,ND,5,20,0.903019,0.529137,0.183341,2,2,163,0,69,2560
6238,BR,ND,3,5,0.920783,0.692928,0.293637,8,4,374,374,54,640
6239,BR,ND,3,5,0.946288,0.421012,0.168051,4,2,41,0,73,1280
6240,BR,ND,7,15,0.839099,0.56128,0.181653,4,3,93,0,70,2160
6241,BR,ND,7,20,0.959571,0.600807,0.248842,9,2,360,0,80,11520
6242,BR,ND,7,5,0.810713,0.67141,0.246291,12,3,236,236,54,2160
6243,BR,ND,5,20,0.897135,0.465276,0.172005,3,2,158,0,71,3840
6244,BR,ND,3,15,0.907189,0.413285,0.111831,3,3,31,0,69,1620
6245,BR,ND,7,15,0.833373,0.481423,0.136083,1,3,47,0,62,540
6246,BR,ND,7,10,0.926107,0.443713,0.164856,8,3,53,0,79,2880
6247,BR,ND,3,5,0.982597,0.685422,0.259364,11,2,305,0,87,3520
6248,BR,ND,7,20,0.94261,0.527188,0.139286,5,3,82,0,73,3600
6249,BR,ND,7,20,0.852963,0.679542,0.271334,9,2,407,0,81,11520
6250,BR,ND,5,5,0.855247,0.618945,0.117989,15,3,21,0,91,2700
6251,BR,ND,5,5,0.804879,0.551625,0.274277,11,4,320,320,54,880
6252,BR,ND,7,20,0.986402,0.691444,0.27771,7,2,430,0,78,8960
6253,BR,ND,5,5,0.995046,0.410328,0.238384,1,3,154,154,54,180
6254,BR,ND,7,10,0.895806,0.457146,0.150154,7,3,41,0,76,2520
6255,BR,ND,3,10,0.848387,0.446249,0.213651,4,3,125,0,71,1440
6256,BR,ND,7,10,0.875021,0.594877,0.247401,15,2,272,0,92,9600
6257,BR,ND,3,5,0.899513,0.517868,0.191917,14,2,69,0,89,4480
6258,BR,ND,7,5,0.913337,0.570333,0.243955,5,4,215,215,54,400
6259,BR,ND,5,20,0.898194,0.630171,0.287451,12,4,473,473,54,3840
